date,forecast,lower_95,upper_95
2022-01-09,216.22151202778446,206.1428614621664,226.30016259340252
2022-01-16,215.9426681924946,205.82016899088077,226.06516739410844
2022-01-23,223.1946559528958,213.07027900755082,233.31903289824078
2022-01-30,231.70797841541773,221.5834632424782,241.83249358835727
2022-02-06,229.39751663692533,219.27299086237048,239.5220424114802
2022-02-13,234.4718569258042,224.34733033545157,244.5963835161568
2022-02-20,232.47188161455912,222.3473549598679,242.59640826925033
2022-02-27,233.08024582267845,222.95571916134992,243.20477248400698
2022-03-06,237.041516664674,226.91699000113536,247.16604332821262
2022-03-13,244.4986510728349,234.37412440743276,254.62317773823702
2022-03-20,248.34971648481945,238.2251898175735,258.4742431520654
2022-03-27,245.59082769128875,235.46630102220016,255.71535436037735
