date,forecast,lower_95,upper_95
2022-01-09,212.41545504635457,200.26563174763635,224.56527834507278
2022-01-16,218.809682447361,206.66049519155234,230.95886970316968
2022-01-23,226.06981868570907,213.9206607231996,238.21897664821853
2022-01-30,228.64578324410934,216.49662504501688,240.7949414432018
2022-02-06,223.6530285721369,211.5038701335646,235.8021870107092
2022-02-13,234.01171331274008,221.86255463469806,246.1608719907821
2022-02-20,237.61487378464847,225.46571486713017,249.76403270216676
2022-02-27,228.14587319360982,215.99671403662182,240.2950323505978
2022-03-06,236.2905069552105,224.14134755874625,248.43966635167476
2022-03-13,234.85158733877032,222.70242770283636,247.00074697470427
2022-03-20,234.7471374238853,222.5979775484751,246.89629729929553
2022-03-27,227.71929649422634,215.57013637934642,239.86845660910626
