date,forecast,lower_95,upper_95
2022-01-09,163.5808595252863,152.0370474002558,175.12467165031677
2022-01-16,150.7457157442992,139.18541373717903,162.30601775141935
2022-01-23,171.2037302880201,159.64332161035247,182.76413896568772
2022-01-30,166.52528591142843,154.96486345683593,178.08570836602092
2022-02-06,175.08285874041732,163.52243552660502,186.64328195422962
2022-02-13,185.2579303956299,173.69750714277643,196.81835364848337
2022-02-20,186.63832764744168,175.07790439254646,198.1987509023369
2022-02-27,179.96051526848663,168.40009201343867,191.5209385235346
2022-03-06,179.01450275794073,167.45407950283797,190.5749260130435
2022-03-13,180.54918484823864,168.98876159308438,192.1096081033929
2022-03-20,195.44464787661477,183.88422462141085,207.00507113181868
2022-03-27,181.56606380466496,170.0056405494098,193.12648705992012
